date,nav_bh,nav_ma20,nav_mom60,dd_bh,dd_ma20,dd_mom60
2022-03-31,2.111268232333782,1.7466542040067397,1.3620433447809996,-0.0715202336004358,-0.13901197943101906,-0.20671730816551992
2022-04-01,2.093687021126112,1.7321092513583205,1.3620433447809996,-0.07925198394135502,-0.14618170424621424,-0.20671730816551992
2022-04-06,2.082985494139979,1.7232558679684902,1.3620433447809996,-0.08395823164784377,-0.15054585201093051,-0.20671730816551992
2022-04-07,2.045530018529491,1.6922689175961,1.3620433447809996,-0.10043015630081342,-0.1658204226748845,-0.20671730816551992
2022-04-08,2.0569962026183934,1.6898574343885255,1.3620433447809996,-0.09538763268334283,-0.16700912857257288,-0.20671730816551992
2022-04-11,2.0248913593419493,1.6898574343885255,1.3620433447809996,-0.10950649116332722,-0.16700912857257288,-0.20671730816551992
2022-04-12,2.0264202800704196,1.6898574343885255,1.3620433447809996,-0.10883411238214102,-0.16700912857257288,-0.20671730816551992
2022-04-13,2.064640281624654,1.6898574343885255,1.3620433447809996,-0.09202596949844877,-0.16700912857257288,-0.20671730816551992
2022-04-14,2.0569962026183934,1.6898574343885255,1.3620433447809996,-0.09538763268334283,-0.16700912857257288,-0.20671730816551992
2022-04-15,2.021833911362077,1.6898574343885255,1.3620433447809996,-0.11085107568492192,-0.16700912857257288,-0.20671730816551992
2022-04-18,2.011132384375944,1.6898574343885255,1.3620433447809996,-0.11555732339141067,-0.16700912857257288,-0.20671730816551992
2022-04-19,2.0180118062794348,1.6898574343885255,1.3620433447809996,-0.11253193611749879,-0.16700912857257288,-0.20671730816551992
2022-04-20,2.0279489384808436,1.6898574343885255,1.3620433447809996,-0.10816184896147363,-0.16700912857257288,-0.20671730816551992
2022-04-21,2.0294775968912684,1.6898574343885255,1.3620433447809996,-0.1074895855408059,-0.16700912857257288,-0.20671730816551992
2022-04-22,2.011896648001644,1.6898574343885255,1.3620433447809996,-0.11522122052120676,-0.16700912857257288,-0.20671730816551992
2022-04-25,1.975969830801581,1.6898574343885255,1.3620433447809996,-0.13102088175350857,-0.16700912857257288,-0.20671730816551992
2022-04-26,1.975969830801581,1.6898574343885255,1.3620433447809996,-0.13102088175350857,-0.16700912857257288,-0.20671730816551992
2022-04-27,1.9346925124264969,1.6898574343885255,1.3620433447809996,-0.1491735514785364,-0.16700912857257288,-0.20671730816551992
